Character 	Named Entity 	Decimal 	Hexadecimal
? 	&isinv; 	&#8712; 	&#x2208;
	&it; 		&#x2062;
	&Itilde; 		&#x0128;
	&itilde; 		&#x0129;
	&Iukcy; 		&#x0406;
	&iukcy; 		&#x0456;
Ï 	&Iuml; 	&#207; 	&#xcf;
ï 	&iuml; 	&#239; 	&#xef;
	&Jcirc; 		&#x0134;
	&jcirc; 		&#x0135;
	&Jcy; 		&#x0419;
	&jcy; 		&#x0439;
	&Jfr; 		&#x1d50d;
	&jfr; 		&#x1d527;
	&jmath; 		&#x0237;
	&Jopf; 		&#x1d541;
	&jopf; 		&#x1d55b;
	&Jscr; 		&#x1d4a5;
	&jscr; 		&#x1d4bf;
	&Jsercy; 		&#x0408;
	&jsercy; 		&#x0458;
	&Jukcy; 		&#x0404;
	&jukcy; 		&#x0454;
? 	&kappa; 	&#954; 	&#x03ba;
? 	&Kappa; 	&#922; 	&#x039a;
	&kappav; 		&#x03f0;
	&kcedil; 		&#x0137;
	&Kcedil; 		&#x0136;
	&Kcy; 		&#x041a;
	&kcy; 		&#x043a;
	&kfr; 		&#x1d528;
	&Kfr; 		&#x1d50e;
	&kgreen; 		&#x0138;
	&khcy; 		&#x0445;
	&KHcy; 		&#x0425;
	&kjcy; 		&#x045c;
	&KJcy; 		&#x040c;
	&kopf; 		&#x1d55c;
	&Kopf; 		&#x1d542;
	&kscr; 		&#x1d4c0;
	&Kscr; 		&#x1d4a6;
	&lAarr; 		&#x21da;
	&lacute; 		&#x013a;
	&Lacute; 		&#x0139;
	&laemptyv; 		&#x29b4;
	&lagran; 		&#x2112;
? 	&lambda; 	&#955; 	&#x03bb;
? 	&Lambda; 	&#923; 	&#x039b;
	&lang; 		&#x27e8;
	&Lang; 		&#x27ea;
	&langd; 		&#x2991;
	&langle; 		&#x27e8;
	&lap; 		&#x2a85;
	&Laplacetrf; 		&#x2112;
« 	&laquo; 	&#171; 	&#xab;
? 	&larr; 	&#8592; 	&#x2190;
? 	&lArr; 	&#8656; 	&#x21d0;
	&Larr; 		&#x219e;
	&larrb; 		&#x21e4;
	&larrbfs; 		&#x291f;
	&larrfs; 		&#x291d;
	&larrhk; 		&#x21a9;
	&larrlp; 		&#x21ab;
	&larrpl; 		&#x2939;
	&larrsim; 		&#x2973;
	&larrtl; 		&#x21a2;
	&lat; 		&#x2aab;
	&latail; 		&#x2919;
	&lAtail; 		&#x291b;
	&late; 		&#x2aad;
	&lbarr; 		&#x290c;
	&lBarr; 		&#x290e;
	&lbbrk; 		&#x2772;
	&lbrace; 		&#x7b;
	&lbrack; 		&#x5b;
	&lbrke; 		&#x298b;
	&lbrksld; 		&#x298f;
	&lbrkslu; 		&#x298d;
	&lcaron; 		&#x013e;
	&Lcaron; 		&#x013d;
	&lcedil; 		&#x013c;
	&Lcedil; 		&#x013b;
? 	&lceil; 	&#8968; 	&#x2308;
	&lcub; 		&#x7b;
	&lcy; 		&#x043b;
	&Lcy; 		&#x041b;
	&ldca; 		&#x2936;
“ 	&ldquo; 	&#8220; 	&#x201c;
„ 	&ldquor; 	&#8222; 	&#x201e;
	&ldrdhar; 		&#x2967;
	&ldrushar; 		&#x294b;
	&ldsh; 		&#x21b2;
= 	&le; 	&#8804; 	&#x2264;
	&lE; 		&#x2266;
	&LeftAngleBracket; 		&#x27e8;
? 	&leftarrow; 	&#8592; 	&#x2190;
? 	&Leftarrow; 	&#8656; 	&#x21d0;
? 	&LeftArrow; 	&#8592; 	&#x2190;
	&LeftArrowBar; 		&#x21e4;
	&LeftArrowRightarrow; 		&#x21c6;
	&leftarrowtail; 		&#x21a2;
	&LeftCeiling; 		&#x2308;
	&LeftDoubleBracket; 		&#x27e6;
	&LeftDownTeeVector; 		&#x2961;
	&LeftDownVector; 		&#x21c3;
	&LeftDownVectorBar; 		&#x2959;
	&LeftFloor; 		&#x230a;
	&leftharpoondown; 		&#x21bd;
	&leftharpoonup; 		&#x21bc;
	&leftleftarrows; 		&#x21c7;
? 	&leftrightarrow; 	&#8596; 	&#x2194;
? 	&LeftRightArrow; 	&#8596; 	&#x2194;
? 	&Leftrightarrow; 	&#8660; 	&#x21d4;
	&leftrightarrows; 		&#x21c6;
	&leftrightharpoons; 		&#x21cb;
	&leftrightsquigarrow; 		&#x21ad;
	&LeftRightVector; 		&#x294e;
	&LeftTee; 		&#x22a3;
	&LeftTeeArrow; 		&#x21a4;
	&LeftTeeVector; 		&#x295a;
	&leftthreetimes; 		&#x22cb;
	&LeftTriangle; 		&#x22b2;
	&LeftTriangleBar; 		&#x29cf;
	&LeftTriangleEqual; 		&#x22b4;
	&LeftUpDownVector; 		&#x2951;
	&LeftUpTeeVector; 		&#x2960;
	&LeftUpVector; 		&#x21bf;
	&LeftUpVectorBar; 		&#x2958;
	&LeftVector; 		&#x21bc;
	&LeftVectorBar; 		&#x2952;
	&leg; 		&#x22da;
	&lEg; 		&#x2a8b;
= 	&leq; 	&#8804; 	&#x2264;
	&leqq; 		&#x2266;
	&leqslant; 		&#x2a7d;
	&les; 		&#x2a7d;
	&lescc; 		&#x2aa8;
	&lesdot; 		&#x2a7f;
	&lesdoto; 		&#x2a81;
	&lesdotor; 		&#x2a83;
	&lesges; 		&#x2a93;
	&lessapprox; 		&#x2a85;
	&lessdot; 		&#x22d6;
	&lesseqgtr; 		&#x22da;
	&lesseqqgtr; 		&#x2a8b;
	&LessEqualGreater; 		&#x22da;
	&LessFullEqual; 		&#x2266;
	&LessGreater; 		&#x2276;
	&lessgtr; 		&#x2276;
	&LessLess; 		&#x2aa1;
	&lesssim; 		&#x2272;
	&LessSlantEqual; 		&#x2a7d;
	&LessTilde; 		&#x2272;
	&lfisht; 		&#x297c;
? 	&lfloor; 	&#8970; 	&#x230a;
	&lfr; 		&#x1d529;
	&Lfr; 		&#x1d50f;
	&lg; 		&#x2276;
	&lgE; 		&#x2a91;
	&lHar; 		&#x2962;
	&lhard; 		&#x21bd;
	&lharu; 		&#x21bc;
	&lharul; 		&#x296a;
	&lhblk; 		&#x2584;
	&ljcy; 		&#x0459;
	&LJcy; 		&#x0409;
	&ll; 		&#x226a;
	&Ll; 		&#x22d8;
	&llarr; 		&#x21c7;
	&llcorner; 		&#x231e;
	&Lleftarrow; 		&#x21da;
	&llhard; 		&#x296b;
	&lltri; 		&#x25fa;
	&lmidot; 		&#x0140;
	&Lmidot; 		&#x013f;
	&lmoust; 		&#x23b0;
	&lmoustache; 		&#x23b0;
	&lnap; 		&#x2a89;
	&lnapprox; 		&#x2a89;
	&lne; 		&#x2a87;
	&lnE; 		&#x2268;
	&lneq; 		&#x2a87;
	&lneqq; 		&#x2268;
	&lnsim; 		&#x22e6;
	&loang; 		&#x27ec;
	&loarr; 		&#x21fd;
	&lobrk; 		&#x27e6;
	&longleftarrow; 		&#x27f5;
	&Longleftarrow; 		&#x27f8;
	&LongLeftArrow; 		&#x27f5;
	&longleftrightarrow; 		&#x27f7;
	&Longleftrightarrow; 		&#x27fa;
	&LongLeftRightArrow; 		&#x27f7;
	&longmapsto; 		&#x27fc;
	&longrightarrow; 		&#x27f6;
	&Longrightarrow; 		&#x27f9;
	&LongRightArrow; 		&#x27f6;
	&looparrowleft; 		&#x21ab;
	&looparrowright; 		&#x21ac;
	&lopar; 		&#x2985;
	&lopf; 		&#x1d55d;
	&Lopf; 		&#x1d543;
	&loplus; 		&#x2a2d;
	&lotimes; 		&#x2a34;
* 	&lowast; 	&#8727; 	&#x2217;
	&lowbar; 		&#x5f;
	&LowerLeftArrow; 		&#x2199;
	&LowerRightArrow; 		&#x2198;
? 	&loz; 	&#9674; 	&#x25ca;
? 	&lozenge; 	&#9674; 	&#x25ca;
	&lozf; 		&#x29eb;
	&lpar; 		&#x28;
	&lparlt; 		&#x2993;
	&lrarr; 		&#x21c6;
	&lrcorner; 		&#x231f;
	&lrhar; 		&#x21cb;
	&lrhard; 		&#x296d;
? 	&lrm; 	&#8206; 	&#x200e;
	&lrtri; 		&#x22bf;
‹ 	&lsaquo; 	&#8249; 	&#x2039;
	&lscr; 		&#x1d4c1;
	&Lscr; 		&#x2112;
	&Lsh; 		&#x21b0;
	&lsh; 		&#x21b0;
	&lsim; 		&#x2272;
	&lsime; 		&#x2a8d;
	&lsimg; 		&#x2a8f;
	&lsqb; 		&#x5b;
‘ 	&lsquo; 	&#8216; 	&#x2018;
‚ 	&lsquor; 	&#8218; 	&#x201a;
	&Lstrok; 		&#x0141;
	&lstrok; 		&#x0142;
	&Lt; 		&#x226a;
	&LT 		&#x3c;
	&ltcc; 		&#x2aa6;
	&ltcir; 		&#x2a79;
	&ltdot; 		&#x22d6;
	&lthree; 		&#x22cb;
	&ltimes; 		&#x22c9;
	&ltlarr; 		&#x2976;
	&ltquest; 		&#x2a7b;
	&ltri; 		&#x25c3;
	&ltrie; 		&#x22b4;
	&ltrif; 		&#x25c2;
	&ltrPar; 		&#x2996;
	&lurdshar; 		&#x294a;
	&luruhar; 		&#x2966;
¯ 	&macr; 	&#175; 	&#xaf;
	&male; 		&#x2642;
	&malt; 		&#x2720;
	&maltese; 		&#x2720;

back to top
Character 	Named Entity 	Decimal 	Hexadecimal
	&map; 		&#x21a6;
	&Map; 		&#x2905;
	&mapsto; 		&#x21a6;
	&mapstodown; 		&#x21a7;
	&mapstoleft; 		&#x21a4;
	&mapstoup; 		&#x21a5;
	&marker; 		&#x25ae;
	&mcomma; 		&#x2a29;
	&mcy; 		&#x043c;
	&Mcy; 		&#x041c;
— 	&mdash; 	&#8212; 	&#x2014;
	&mDDot; 		&#x223a;
	&measuredangle; 		&#x2221;
	&MediumSpace; 		&#x205f;
	&Mellintrf; 		&#x2133;
	&mfr; 		&#x1d52a;
	&Mfr; 		&#x1d510;
	&mho; 		&#x2127;
µ 	&micro; 	&#181; 	&#xb5;
	&mid; 		&#x2223;
	&midast; 		&#x2a;
	&midcir; 		&#x2af0;
· 	&middot; 	&#183; 	&#xb7;
- 	&minus; 	&#8722; 	&#x2212;
	&minusb; 		&#x229f;
	&minusd; 		&#x2238;
	&minusdu; 		&#x2a2a;
	&MinusPlus; 		&#x2213;
	&mlcp; 		&#x2adb;
… 	&mldr; 	&#8230; 	&#x2026;
	&mnplus; 		&#x2213;
	&models; 		&#x22a7;
	&Mopf; 		&#x1d544;
	&mopf; 		&#x1d55e;
	&mp; 		&#x2213;
	&mscr; 		&#x1d4c2;
	&Mscr; 		&#x2133;
	&mstpos; 		&#x223e;
? 	&Mu; 	&#924; 	&#x039c;
µ 	&mu; 	&#956; 	&#x03bc;
	&multimap; 		&#x22b8;
	&mumap; 		&#x22b8;
? 	&nabla; 	&#8711; 	&#x2207;
	&nacute; 		&#x0144;
	&Nacute; 		&#x0143;
	&nap; 		&#x2249;
	&napos; 		&#x0149;
	&napprox; 		&#x2249;
	&natur; 		&#x266e;
	&natural; 		&#x266e;
	&naturals; 		&#x2115;
	&nbsp; 	&#160; 	&#xa0;
	&ncap; 		&#x2a43;
	&ncaron; 		&#x0148;
	&Ncaron; 		&#x0147;
	&Ncedil; 		&#x0145;
	&ncedil; 		&#x0146;
	&ncong; 		&#x2247;
	&ncup; 		&#x2a42;
	&Ncy; 		&#x041d;
	&ncy; 		&#x043d;
– 	&ndash; 	&#8211; 	&#x2013;
? 	&ne; 	&#8800; 	&#x2260;
	&nearhk; 		&#x2924;
	&nearr; 		&#x2197;
	&neArr; 		&#x21d7;
	&nearrow; 		&#x2197;
	&NegativeMediumSpace; 		&#x200b;
	&NegativeThickSpace; 		&#x200b;
	&NegativeThinSpace; 		&#x200b;
	&NegativeVeryThinSpace; 		&#x200b;
	&nequiv; 		&#x2262;
	&nesear; 		&#x2928;
	&NestedGreaterGreater; 		&#x226b;
	&NestedLessLess; 		&#x226a;
	&NewLine; 		&#x0a;
	&nexist; 		&#x2204;
	&nexists; 		&#x2204;
	&Nfr; 		&#x1d511;
	&nfr; 		&#x1d52b;
	&nge; 		&#x2271;
	&ngeq; 		&#x2271;
	&ngsim; 		&#x2275;
	&ngt; 		&#x226f;
	&ngtr; 		&#x226f;
	&nharr; 		&#x21ae;
	&nhArr; 		&#x21ce;
	&nhpar; 		&#x2af2;
? 	&ni; 	&#8715; 	&#x220b;
	&nis; 		&#x22fc;
	&nisd; 		&#x22fa;
? 	&niv; 	&#8715; 	&#x220b;
	&NJcy; 		&#x040a;
	&njcy; 		&#x045a;
	&nlarr; 		&#x219a;
	&nlArr; 		&#x21cd;
	&nldr; 		&#x2025;
	&nle; 		&#x2270;
	&nleftarrow; 		&#x219a;
	&nLeftarrow; 		&#x21cd;
	&nleftrightarrow; 		&#x21ae;
	&nLeftrightarrow; 		&#x21ce;
	&nleq; 		&#x2270;
	&nless; 		&#x226e;
	&nlsim; 		&#x2274;
	&nlt; 		&#x226e;
	&nltri; 		&#x22ea;
	&nltrie; 		&#x22ec;
	&nmid; 		&#x2224;
	&NoBreak; 		&#x2060;
	&NonBreakingSpace; 		&#xa0;
	&nopf; 		&#x1d55f;
	&Nopf; 		&#x2115;
¬ 	&not; 	&#172; 	&#xac;
	&Not; 		&#x2aec;
	&NotCongruent; 		&#x2262;
	&NotCupCap; 		&#x226d;
	&NotDoubleVerticalBar; 		&#x2226;
? 	&NotElement; 	&#8713; 	&#x2209;
? 	&NotEqual; 	&#8800; 	&#x2260;
	&NotExists; 		&#x2204;
	&NotGreater; 		&#x226f;
	&NotGreaterEqual; 		&#x2271;
	&NotGreaterLess; 		&#x2279;
	&NotGreaterTilde; 		&#x2275;
? 	&notin; 	&#8713; 	&#x2209;
? 	&notinva; 	&#8713; 	&#x2209;
	&notinvb; 		&#x22f7;
	&notinvc; 		&#x22f6;
	&NotLeftTriangle; 		&#x22ea;
	&NotLeftTriangleEqual; 		&#x22ec;
	&NotLess; 		&#x226e;
	&NotLessEqual; 		&#x2270;
	&NotLessGreater; 		&#x2278;
	&NotLessTilde; 		&#x2274;
	&notni; 		&#x220c;
	&notniva; 		&#x220c;
	&notnivb; 		&#x22fe;
	&notnivc; 		&#x22fd;
	&NotPrecedes; 		&#x2280;
	&NotPrecedesSlantEqual; 		&#x22e0;
	&NotReverseElement; 		&#x220c;
	&NotRightTriangle; 		&#x22eb;
	&NotRightTriangleEqual; 		&#x22ed;
	&NotSquareSubsetEqual; 		&#x22e2;
	&NotSquareSupersetEqual; 		&#x22e3;
	&NotSubsetEqual; 		&#x2288;
	&NotSucceeds; 		&#x2281;
	&NotSucceedsSlantEqual; 		&#x22e1;
	&NotSupersetEqual; 		&#x2289;
	&NotTilde; 		&#x2241;
	&NotTildeEqual; 		&#x2244;
	&NotTildeFullEqual; 		&#x2247;
	&NotTildeTilde; 		&#x2249;
	&NotVerticalBar; 		&#x2224;
	&npar; 		&#x2226;
	&nparallel; 		&#x2226;
	&npolint; 		&#x2a14;
	&npr; 		&#x2280;
	&nprcue; 		&#x22e0;
	&nprec; 		&#x2280;
	&nrarr; 		&#x219b;
	&nrArr; 		&#x21cf;
	&nrightarrow; 		&#x219b;
	&nRightarrow; 		&#x21cf;
	&nrtri; 		&#x22eb;
	&nrtrie; 		&#x22ed;
	&nsc; 		&#x2281;
	&nsccue; 		&#x22e1;
	&Nscr; 		&#x1d4a9;
	&nscr; 		&#x1d4c3;
	&nshortmid; 		&#x2224;
	&nshortparallel; 		&#x2226;
	&nsim; 		&#x2241;
	&nsime; 		&#x2244;
	&nsimeq; 		&#x2244;
	&nsmid; 		&#x2224;
	&nspar; 		&#x2226;
	&nsqsube; 		&#x22e2;
	&nsqsupe; 		&#x22e3;
? 	&nsub; 	&#8836; 	&#x2284;
	&nsube; 		&#x2288;
	&nsubseteq; 		&#x2288;
	&nsucc; 		&#x2281;
	&nsup; 		&#x2285;
	&nsupe; 		&#x2289;
	&nsupseteq; 		&#x2289;
	&ntgl; 		&#x2279;
Ñ 	&Ntilde; 	&#209; 	&#xd1;
ñ 	&ntilde; 	&#241; 	&#xf1;
	&ntlg; 		&#x2278;
	&ntriangleleft; 		&#x22ea;
	&ntrianglelefteq; 		&#x22ec;
	&ntriangleright; 		&#x22eb;
	&ntrianglerighteq; 		&#x22ed;
? 	&Nu; 	&#925; 	&#x039d;
? 	&nu; 	&#957; 	&#x03bd;
	&num; 		&#x23;
	&numero; 		&#x2116;
	&numsp; 		&#x2007;
	&nvdash; 		&#x22ac;
	&nvDash; 		&#x22ad;
	&nVdash; 		&#x22ae;
	&nVDash; 		&#x22af;
	&nvHarr; 		&#x2904;
	&nvinfin; 		&#x29de;
	&nvlArr; 		&#x2902;
	&nvrArr; 		&#x2903;
	&nwarhk; 		&#x2923;
	&nwarr; 		&#x2196;
	&nwArr; 		&#x21d6;
	&nwarrow; 		&#x2196;
	&nwnear; 		&#x2927;
ó 	&oacute; 	&#243; 	&#xf3;
Ó 	&Oacute; 	&#211; 	&#xd3;
	&oast; 		&#x229b;
	&ocir; 		&#x229a;
ô 	&ocirc; 	&#244; 	&#xf4;
Ô 	&Ocirc; 	&#212; 	&#xd4;
	&ocy; 		&#x043e;
	&Ocy; 		&#x041e;
	&odash; 		&#x229d;
	&odblac; 		&#x0151;
	&Odblac; 		&#x0150;
	&odiv; 		&#x2a38;
	&odot; 		&#x2299;
	&odsold; 		&#x29bc;
Œ 	&OElig; 	&#338; 	&#x0152;
œ 	&oelig; 	&#339; 	&#x0153;
	&ofcir; 		&#x29bf;
	&Ofr; 		&#x1d512;
	&ofr; 		&#x1d52c;
	&ogon; 		&#x02db;
ò 	&ograve; 	&#242; 	&#xf2;
Ò 	&Ograve; 	&#210; 	&#xd2;
	&ogt; 		&#x29c1;
	&ohbar; 		&#x29b5;
	&ohm; 		&#x2126;
	&oint; 		&#x222e;
	&olarr; 		&#x21ba;
	&olcir; 		&#x29be;
	&olcross; 		&#x29bb;
? 	&oline; 	&#8254; 	&#x203e;
	&olt; 		&#x29c0;
	&omacr; 		&#x014d;
	&Omacr; 		&#x014c;
? 	&omega; 	&#969; 	&#x03c9;
O 	&Omega; 	&#937; 	&#x03a9;
? 	&omicron; 	&#959; 	&#x03bf;
? 	&Omicron; 	&#927; 	&#x039f;
	&omid; 		&#x29b6;
	&ominus; 		&#x2296;
	&oopf; 		&#x1d560;
	&Oopf; 		&#x1d546;
	&opar; 		&#x29b7;
“ 	&OpenCurlyDoubleQuote; 	&#8220; 	&#x201c;
‘ 	&OpenCurlyQuote; 	&#8216; 	&#x2018;
	&operp; 		&#x29b9;
? 	&oplus; 	&#8853; 	&#x2295;
? 	&or; 	&#8744; 	&#x2228;
	&Or; 		&#x2a54;
	&orarr; 		&#x21bb;
	&ord; 		&#x2a5d;
	&order; 		&#x2134;
	&orderof; 		&#x2134;
ª 	&ordf; 	&#170; 	&#xaa;
º 	&ordm; 	&#186; 	&#xba;
	&origof; 		&#x22b6;
	&oror; 		&#x2a56;
	&orslope; 		&#x2a57;
	&orv; 		&#x2a5b;
	&oS; 		&#x24c8;
	&oscr; 		&#x2134;
	&Oscr; 		&#x1d4aa;
ø 	&oslash; 	&#248; 	&#xf8;
Ø 	&Oslash; 	&#216; 	&#xd8;
	&osol; 		&#x2298;
õ 	&otilde; 	&#245; 	&#xf5;
Õ 	&Otilde; 	&#213; 	&#xd5;
? 	&otimes; 	&#8855; 	&#x2297;
	&Otimes; 		&#x2a37;
	&otimesas; 		&#x2a36;
	&ouml; 		&#xf6;
Ö 	&Ouml; 	&#214; 	&#xd6;
	&ovbar; 		&#x233d;
	&OverBar; 		&#xaf;
	&OverBrace; 		&#x23de;
d 	&OverBracket; 	&#948; 	&#x23b4;
	&OverParenthesis; 		&#x23dc;
	&par; 		&#x2225;
¶ 	&para; 	&#182; 	&#xb6;
	&parallel; 		&#x2225;
	&parsim; 		&#x2af3;
	&parsl; 		&#x2afd;
? 	&part; 	&#8706; 	&#x2202;
? 	&PartialD; 	&#8706; 	&#x2202;
	&Pcy; 		&#x041f;
	&pcy; 		&#x043f;
	&percnt; 		&#x25;
	&period; 		&#x2e;
‰ 	&permil; 	&#8240; 	&#x2030;
? 	&perp; 	&#8869; 	&#x22a5;
	&pertenk; 		&#x2031;
	&Pfr; 		&#x1d513;
	&pfr; 		&#x1d52d;
F 	&Phi; 	&#934; 	&#x03a6;
f 	&phi; 	&#966; 	&#x03c6;
f 	&phiv; 	&#966; 	&#x03c6;
	&phmmat; 		&#x2133;
	&phone; 		&#x260e;
? 	&Pi; 	&#928; 	&#x03a0;
p 	&pi; 	&#960; 	&#x03c0;
	&pitchfork; 		&#x22d4;
? 	&piv; 	&#982; 	&#x03d6;
	&planck; 		&#x210f;
	&planckh; 		&#x210e;
	&plankv; 		&#x210f;
	&plus; 		&#x2b;
	&plusacir; 		&#x2a23;
	&plusb; 		&#x229e;
	&pluscir; 		&#x2a22;
	&plusdo; 		&#x2214;
	&plusdu; 		&#x2a25;
	&pluse; 		&#x2a72;
	&PlusMinus; 		&#xb1;
± 	&plusmn; 	&#177; 	&#xb1;
	&plussim; 		&#x2a26;
	&plustwo; 		&#x2a27;
	&pm; 		&#xb1;
	&Poincareplane; 		&#x210c;
	&pointint; 		&#x2a15;
	&popf; 		&#x1d561;
	&Popf; 		&#x2119;
£ 	&pound; 	&#163; 	&#xa3;
	&pr; 		&#x227a;
	&Pr; 		&#x2abb;
	&prap; 		&#x2ab7;
	&prcue; 		&#x227c;
	&pre; 		&#x2aaf;
	&prE; 		&#x2ab3;
	&prec; 		&#x227a;
	&precapprox; 		&#x2ab7;
	&preccurlyeq; 		&#x227c;
	&Precedes; 		&#x227a;
	&PrecedesEqual; 		&#x2aaf;
	&PrecedesSlantEqual; 		&#x227c;
	&PrecedesTilde; 		&#x227e;
	&preceq; 		&#x2aaf;
	&precnapprox; 		&#x2ab9;
	&precneqq; 		&#x2ab5;
	&precnsim; 		&#x22e8;
	&precsim; 		&#x227e;
' 	&prime; 	&#8242; 	&#x2032;
? 	&Prime; 	&#8243; 	&#x2033;
	&primes; 		&#x2119;
	&prnap; 		&#x2ab9;
	&prnE; 		&#x2ab5;
	&prnsim; 		&#x22e8;
? 	&prod; 	&#8719; 	&#x220f;
? 	&Product; 	&#8719; 	&#x220f;
	&profalar; 		&#x232e;
	&profline; 		&#x2312;
	&profsurf; 		&#x2313;
? 	&prop; 	&#8733; 	&#x221d;
	&Proportion; 		&#x2237;
? 	&Proportional; 	&#8733; 	&#x221d;
? 	&propto; 	&#8733; 	&#x221d;
	&prsim; 		&#x227e;
	&prurel; 		&#x22b0;
	&Pscr; 		&#x1d4ab;
	&pscr; 		&#x1d4c5;
? 	&Psi; 	&#936; 	&#x03a8;
? 	&psi; 	&#968; 	&#x03c8;
	&puncsp; 		&#x2008;
	&qfr; 		&#x1d52e;
	&Qfr; 		&#x1d514;
	&qint; 		&#x2a0c;
	&qopf; 		&#x1d562;
	&Qopf; 		&#x211a;
	&qprime; 		&#x2057;
	&qscr; 		&#x1d4c6;
	&Qscr; 		&#x1d4ac;
	&quaternions; 		&#x210d;
	&quatint; 		&#x2a16;
	&quest; 		&#x3f;
	&questeq; 		&#x225f;
	&QUOT; 		&#x22;
	&rAarr; 		&#x21db;
	&race; 		&#x29da;
	&racute; 		&#x0155;
	&Racute; 		&#x0154;
v 	&radic; 	&#8730; 	&#x221a;
	&raemptyv; 		&#x29b3;
	&rang; 		&#x27e9;
	&Rang; 		&#x27eb;
	&rangd; 		&#x2992;
	&range; 		&#x29a5;
	&rangle; 		&#x27e9;
» 	&raquo; 	&#187; 	&#xbb;
? 	&rarr; 	&#8594; 	&#x2192;
? 	&rArr; 	&#8658; 	&#x21d2;
	&Rarr; 		&#x21a0;
	&rarrap; 		&#x2975;
	&rarrb; 		&#x21e5;
	&rarrbfs; 		&#x2920;
	&rarrc; 		&#x2933;
	&rarrfs; 		&#x291e;
	&rarrhk; 		&#x21aa;
	&rarrlp; 		&#x21ac;
	&rarrpl; 		&#x2945;
	&rarrsim; 		&#x2974;
	&rarrtl; 		&#x21a3;
	&Rarrtl; 		&#x2916;
	&rarrw; 		&#x219d;
	&ratail; 		&#x291a;
	&rAtail; 		&#x291c;
	&ratio; 		&#x2236;
	&rationals; 		&#x211a;
	&rbarr; 		&#x290d;
	&rBarr; 		&#x290f;
	&RBarr; 		&#x2910;
	&rbbrk; 		&#x2773;
	&rbrace; 		&#x7d;
	&rbrack; 		&#x5d;
	&rbrke; 		&#x298c;
	&rbrksld; 		&#x298e;
	&rbrkslu; 		&#x2990;
	&rcaron; 		&#x0159;
	&Rcaron; 		&#x0158;
	&rcedil; 		&#x0157;
	&Rcedil; 		&#x0156;
? 	&rceil; 	&#8969; 	&#x2309;
	&rcub; 		&#x7d;
	&rcy; 		&#x0440;
	&Rcy; 		&#x0420;
	&rdca; 		&#x2937;
	&rdldhar; 		&#x2969;
” 	&rdquo; 	&#8221; 	&#x201d;
” 	&rdquor; 	&#8221; 	&#x201d;
	&rdsh; 		&#x21b3;
R 	&Re; 	&#8476; 	&#x211c;
R 	&real; 	&#8476; 	&#x211c;
	&realine; 		&#x211b;
R 	&realpart; 	&#8476; 	&#x211c;
	&reals; 		&#x211d;
	&rect; 		&#x25ad;
	&REG 		&#xae;
	&REG; 		&#xae;
® 	&reg; 	&#174; 	&#xae;
? 	&ReverseElement; 	&#8715; 	&#x220b;
	&ReverseEquilibrium; 		&#x21cb;
	&ReverseUpEquilibrium; 		&#x296f;
	&rfisht; 		&#x297d;
? 	&rfloor; 	&#8971; 	&#x230b;
	&rfr; 		&#x1d52f;
R 	&Rfr; 	&#8476; 	&#x211c;
	&rHar; 		&#x2964;
	&rhard; 		&#x21c1;
	&rharu; 		&#x21c0;
	&rharul; 		&#x296c;
? 	&rho; 	&#961; 	&#x03c1;
? 	&Rho; 	&#929; 	&#x03a1;
	&rhov; 		&#x03f1;
	&RightAngleBracket; 		&#x27e9;
? 	&rightarrow; 	&#8594; 	&#x2192;
? 	&RightArrow; 	&#8594; 	&#x2192;
? 	&Rightarrow; 	&#8658; 	&#x21d2;
	&RightArrowBar; 		&#x21e5;
	&RightArrowLeftarrow; 		&#x21c4;
	&rightarrowtail; 		&#x21a3;
	&RightCeiling; 		&#x2309;
	&RightDoubleBracket; 		&#x27e7;
	&RightDownTeeVector; 		&#x295d;
	&RightDownVector; 		&#x21c2;
	&RightDownVectorBar; 		&#x2955;
	&RightFloor; 		&#x230b;
	&rightharpoondown; 		&#x21c1;
	&rightharpoonup; 		&#x21c0;
	&rightleftarrows; 		&#x21c4;
	&rightleftharpoons; 		&#x21cc;
	&rightrightarrows; 		&#x21c9;
	&rightsquigarrow; 		&#x219d;
	&RightTee; 		&#x22a2;
	&RightTeeArrow; 		&#x21a6;
	&RightTeeVector; 		&#x295b;
	&rightthreetimes; 		&#x22cc;
	&RightTriangleBar; 		&#x29d0;
	&RightTriangleEqual; 		&#x22b5;
	&RightUpDownVector; 		&#x294f;
	&RightUpTeeVector; 		&#x295c;
	&RightUpVector; 		&#x21be;
	&RightUpVectorBar; 		&#x2954;
	&RightVector; 		&#x21c0;
	&RightVectorBar; 		&#x2953;
	&ring; 		&#x02da;
	&risingdotseq; 		&#x2253;
	&rlarr; 		&#x21c4;
	&rlhar; 		&#x21cc;
? 	&rlm; 	&#8207; 	&#x200f;
	&rmoust; 		&#x23b1;
	&rmoustache; 		&#x23b1;
	&rnmid; 		&#x2aee;
	&roang; 		&#x27ed;
	&roarr; 		&#x21fe;
	&robrk; 		&#x27e7;
	&ropar; 		&#x2986;
	&ropf; 		&#x1d563;
	&Ropf; 		&#x211d;
	&roplus; 		&#x2a2e;

back to top
Character 	Named Entity 	Decimal 	Hexadecimal
	&rotimes; 		&#x2a35;
	&RoundImplies; 		&#x2970;
	&rpar; 		&#x29;
	&rpargt; 		&#x2994;
	&rppolint; 		&#x2a12;
	&rrarr; 		&#x21c9;
