Character 	Named Entity 	Decimal 	Hexadecimal
	&asympeq; 		&#x224d;
ã 	&atilde; 	&#227; 	&#xe3;
Ã 	&Atilde; 	&#195; 	&#xc3;
ä 	&auml; 	&#228; 	&#xe4;
Ä 	&Auml; 	&#196; 	&#xc4;
	&awconint; 		&#x2233;
	&awint; 		&#x2a11;
	&backcong; 		&#x224c;
	&backepsilon; 		&#x03f6;
	&backprime; 		&#x2035;
	&backsim; 		&#x223d;
	&backsimeq; 		&#x22cd;
	&Backslash; 		&#x2216;
	&Barv; 		&#x2ae7;
	&barvee; 		&#x22bd;
	&barwed; 		&#x2305;
	&Barwed; 		&#x2306;
	&barwedge; 		&#x2305;
e 	&bbrk; 	&#949; 	&#x23b5;
? 	&bbrktbrk; 	&#950; 	&#x23b6;
	&bcong; 		&#x224c;
	&Bcy; 		&#x0411;
	&bcy; 		&#x0431;
„ 	&bdquo; 	&#8222; 	&#x201e;
	&becaus; 		&#x2235;
	&because; 		&#x2235;
	&Because; 		&#x2235;
	&bemptyv; 		&#x29b0;
	&bepsi; 		&#x03f6;
	&bernou; 		&#x212c;
	&Bernoullis; 		&#x212c;
ß 	&beta; 	&#946; 	&#x03b2;
? 	&Beta; 	&#914; 	&#x0392;
	&beth; 		&#x2136;
	&between; 		&#x226c;
	&bfr; 		&#x1d51f;
	&Bfr; 		&#x1d505;
	&bigcap; 		&#x22c2;
	&bigcirc; 		&#x25ef;
	&bigcup; 		&#x22c3;
	&bigodot; 		&#x2a00;
	&bigoplus; 		&#x2a01;
	&bigotimes; 		&#x2a02;
	&bigsqcup; 		&#x2a06;
	&bigstar; 		&#x2605;
	&bigtriangledown; 		&#x25bd;
	&bigtriangleup; 		&#x25b3;
	&biguplus; 		&#x2a04;
	&bigvee; 		&#x22c1;
	&bigwedge; 		&#x22c0;
	&bkarow; 		&#x290d;
	&blacklozenge; 		&#x29eb;
	&blacksquare; 		&#x25aa;
	&blacktriangle; 		&#x25b4;
	&blacktriangledown; 		&#x25be;
	&blacktriangleleft; 		&#x25c2;
	&blacktriangleright; 		&#x25b8;
	&blank; 		&#x2423;
	&blk12; 		&#x2592;
	&blk14; 		&#x2591;
	&blk34; 		&#x2593;
	&block; 		&#x2588;
	&bnot; 		&#x2310;
	&bNot; 		&#x2aed;
	&bopf; 		&#x1d553;
	&Bopf; 		&#x1d539;
	&bot; 		&#x22a5;
	&bottom; 		&#x22a5;
	&bowtie; 		&#x22c8;
	&boxbox; 		&#x29c9;
	&boxdl; 		&#x2510;
	&boxdL; 		&#x2555;
	&boxDl; 		&#x2556;
	&boxDL; 		&#x2557;
	&boxdr; 		&#x250c;
	&boxdR; 		&#x2552;
	&boxDr; 		&#x2553;
	&boxDR; 		&#x2554;
	&boxh; 		&#x2500;
	&boxH; 		&#x2550;
	&boxhd; 		&#x252c;
	&boxhD; 		&#x2565;
	&boxHd; 		&#x2564;
	&boxHD; 		&#x2566;
	&boxhu; 		&#x2534;
	&boxHu; 		&#x2567;
	&boxhU; 		&#x2568;
	&boxHU; 		&#x2569;
	&boxminus; 		&#x229f;
	&boxplus; 		&#x229e;
	&boxtimes; 		&#x22a0;
	&boxul; 		&#x2518;
	&boxuL; 		&#x255b;
	&boxUl; 		&#x255c;
	&boxUL; 		&#x255d;
	&boxur; 		&#x2514;
	&boxuR; 		&#x2558;
	&boxUr; 		&#x2559;
	&boxUR; 		&#x255a;
	&boxv; 		&#x2502;
	&boxV; 		&#x2551;
	&boxvh; 		&#x253c;
	&boxvH; 		&#x256a;
	&boxVh; 		&#x256b;
	&boxVH; 		&#x256c;
	&boxvl; 		&#x2524;
	&boxvL; 		&#x2561;
	&boxVl; 		&#x2562;
	&boxVL; 		&#x2563;
	&boxvr; 		&#x251c;
	&boxvR; 		&#x255e;
	&boxVr; 		&#x255f;
	&boxVR; 		&#x2560;
	&bprime; 		&#x2035;
	&breve; 		&#x02d8;
	&Breve; 		&#x02d8;
¦ 	&brvbar; 	&#166; 	&#xa6;
	&bscr; 		&#x1d4b7;
	&Bscr; 		&#x212c;
	&bsemi; 		&#x204f;
	&bsim; 		&#x223d;
	&bsime; 		&#x22cd;
	&bsol; 		&#x5c;
	&bsolb; 		&#x29c5;
• 	&bull; 	&#8226; 	&#x2022;
• 	&bullet; 	&#8226; 	&#x2022;
	&bump; 		&#x224e;
	&bumpe; 		&#x224f;
	&bumpE; 		&#x2aae;
	&bumpeq; 		&#x224f;
	&Bumpeq; 		&#x224e;
	&cacute; 		&#x0107;
	&Cacute; 		&#x0106;
n 	&cap; 	&#8745; 	&#x2229;
	&Cap; 		&#x22d2;
	&capand; 		&#x2a44;
	&capbrcup; 		&#x2a49;
	&capcap; 		&#x2a4b;
	&capcup; 		&#x2a47;
	&capdot; 		&#x2a40;
	&CapitalDifferentiald; 		&#x2145;
	&caret; 		&#x2041;
	&caron; 		&#x02c7;
	&Cayleys; 		&#x212d;
	&ccaps; 		&#x2a4d;
	&ccaron; 		&#x010d;
	&Ccaron; 		&#x010c;
ç 	&ccedil; 	&#231; 	&#xe7;
Ç 	&Ccedil; 	&#199; 	&#xc7;
	&ccirc; 		&#x0109;
	&Ccirc; 		&#x0108;
	&Cconint; 		&#x2230;
	&ccups; 		&#x2a4c;
	&ccupssm; 		&#x2a50;
	&Cdot; 		&#x010a;
	&cdot; 		&#x010b;
¸ 	&cedil; 	&#184; 	&#xb8;
	&Cedilla; 		&#xb8;
	&cemptyv; 		&#x29b2;
¢ 	&cent; 	&#162; 	&#xa2;
	&CenterDot; 		&#xb7;
	&centerdot; 		&#xb7;
	&cfr; 		&#x1d520;
	&Cfr; 		&#x212d;
	&CHcy; 		&#x0427;
	&chcy; 		&#x0447;
	&check; 		&#x2713;
	&checkmark; 		&#x2713;
? 	&chi; 	&#967; 	&#x03c7;
? 	&Chi; 	&#935; 	&#x03a7;
	&cir; 		&#x25cb;
ˆ 	&circ; 	&#710; 	&#x02c6;
	&circeq; 		&#x2257;
	&circlearrowleft; 		&#x21ba;
	&circlearrowright; 		&#x21bb;
	&circledast; 		&#x229b;
	&circledcirc; 		&#x229a;
	&circleddash; 		&#x229d;
	&CircleDot; 		&#x2299;
	&circledR; 		&#xae;
	&circledS; 		&#x24c8;
	&CircleMinus; 		&#x2296;
? 	&CirclePlus; 	&#8853; 	&#x2295;
	&CircleTimes; 		&#x2297;
	&cire; 		&#x2257;
	&cirE; 		&#x29c3;
	&cirfnint; 		&#x2a10;
	&cirmid; 		&#x2aef;
	&cirscir; 		&#x29c2;
	&ClockwiseContourIntegral; 		&#x2232;
” 	&CloseCurlyDoubleQuote; 	&#8221; 	&#x201d;
’ 	&CloseCurlyQuote; 	&#8217; 	&#x2019;
? 	&clubs; 	&#9827; 	&#x2663;
? 	&clubsuit; 	&#9827; 	&#x2663;
	&colon; 		&#x3a;
	&Colon; 		&#x2237;
	&colone; 		&#x2254;
	&Colone; 		&#x2a74;
	&coloneq; 		&#x2254;
	&comma; 		&#x2c;
	&commat; 		&#x40;
	&comp; 		&#x2201;
	&compfn; 		&#x2218;
	&complement; 		&#x2201;
	&complexes; 		&#x2102;
? 	&cong; 	&#8773; 	&#x2245;
	&congdot; 		&#x2a6d;
	&Congruent; 		&#x2261;
	&conint; 		&#x222e;
	&Conint; 		&#x222f;
	&ContourIntegral; 		&#x222e;
	&copf; 		&#x1d554;
	&Copf; 		&#x2102;
	&coprod; 		&#x2210;
	&Coproduct; 		&#x2210;
	&COPY; 		&#xa9;
© 	&copy; 	&#169; 	&#xa9;
	&copysr; 		&#x2117;
	&CounterClockwiseContourIntegral; 		&#x2233;
? 	&crarr; 	&#8629; 	&#x21b5;
	&cross; 		&#x2717;
	&Cross; 		&#x2a2f;
	&Cscr; 		&#x1d49e;
	&cscr; 		&#x1d4b8;
	&csub; 		&#x2acf;
	&csube; 		&#x2ad1;
	&csup; 		&#x2ad0;
	&csupe; 		&#x2ad2;
	&ctdot; 		&#x22ef;
	&cudarrl; 		&#x2938;
	&cudarrr; 		&#x2935;
	&cuepr; 		&#x22de;
	&cuesc; 		&#x22df;
	&cularr; 		&#x21b6;
	&cularrp; 		&#x293d;
? 	&cup; 	&#8746; 	&#x222a;
	&Cup; 		&#x22d3;
	&cupbrcap; 		&#x2a48;
	&cupcap; 		&#x2a46;
	&CupCap; 		&#x224d;
	&cupcup; 		&#x2a4a;
	&cupdot; 		&#x228d;
	&cupor; 		&#x2a45;
	&curarr; 		&#x21b7;
	&curarrm; 		&#x293c;
	&curlyeqprec; 		&#x22de;
	&curlyeqsucc; 		&#x22df;
	&curlyvee; 		&#x22ce;
	&curlywedge; 		&#x22cf;
¤ 	&curren; 	&#164; 	&#xa4;
	&curvearrowleft; 		&#x21b6;
	&curvearrowright; 		&#x21b7;
	&cuvee; 		&#x22ce;
	&cuwed; 		&#x22cf;
	&cwconint; 		&#x2232;
	&cwint; 		&#x2231;
	&cylcty; 		&#x232d;
† 	&dagger; 	&#8224; 	&#x2020;
‡ 	&Dagger; 	&#8225; 	&#x2021;
	&daleth; 		&#x2138;
	&Darr; 		&#x21a1;
? 	&darr; 	&#8595; 	&#x2193;
? 	&dArr; 	&#8659; 	&#x21d3;
	&dash; 		&#x2010;
	&dashv; 		&#x22a3;
	&Dashv; 		&#x2ae4;
	&dbkarow; 		&#x290f;
	&dblac; 		&#x02dd;
	&Dcaron; 		&#x010e;
	&dcaron; 		&#x010f;
	&Dcy; 		&#x0414;
	&dcy; 		&#x0434;
	&DD; 		&#x2145;
	&dd; 		&#x2146;
‡ 	&ddagger; 	&#8225; 	&#x2021;
	&ddarr; 		&#x21ca;
	&DDotrahd; 		&#x2911;
	&ddotseq; 		&#x2a77;
° 	&deg; 	&#176; 	&#xb0;
? 	&Del; 	&#8711; 	&#x2207;
d 	&delta; 	&#948; 	&#x03b4;
? 	&Delta; 	&#916; 	&#x0394;
	&demptyv; 		&#x29b1;
	&dfisht; 		&#x297f;
	&Dfr; 		&#x1d507;
	&dfr; 		&#x1d521;
	&dHar; 		&#x2965;
	&dharl; 		&#x21c3;
	&dharr; 		&#x21c2;
	&DiacriticalAcute; 		&#xb4;
	&DiacriticalDot; 		&#x02d9;
	&DiacriticalDoubleacute; 		&#x02dd;
	&DiacriticalGrave; 		&#x60;
˜ 	&DiacriticalTilde; 	&#732; 	&#x02dc;
	&diam; 		&#x22c4;
	&diamond; 		&#x22c4;
	&Diamond; 		&#x22c4;
? 	&diamondsuit; 	&#9830; 	&#x2666;
? 	&diams; 	&#9830; 	&#x2666;
	&die; 		&#xa8;
	&DifferentialD; 		&#x2146;
	&digamma; 		&#x03dd;
	&disin; 		&#x22f2;
÷ 	&div; 	&#247; 	&#xf7;
÷ 	&divide; 	&#247; 	&#xf7;
	&divideontimes; 		&#x22c7;
	&divonx; 		&#x22c7;
	&DJcy; 		&#x0402;
	&djcy; 		&#x0452;
	&dlcorn; 		&#x231e;
	&dlcrop; 		&#x230d;
	&dollar; 		&#x24;
	&Dopf; 		&#x1d53b;
	&dopf; 		&#x1d555;
	&dot; 		&#x02d9;
	&Dot; 		&#xa8;
	&DotDot; 		&#x20dc;
	&doteq; 		&#x2250;
	&doteqdot; 		&#x2251;
	&DotEqual; 		&#x2250;
	&dotminus; 		&#x2238;
	&dotplus; 		&#x2214;
	&dotsquare; 		&#x22a1;
	&doublebarwedge; 		&#x2306;
	&DoubleContourIntegral; 		&#x222f;
	&DoubleDot; 		&#xa8;
? 	&DoubleDownArrow; 	&#8659; 	&#x21d3;
? 	&DoubleLeftArrow; 	&#8656; 	&#x21d0;
? 	&DoubleLeftRightarrow; 	&#8660; 	&#x21d4;
	&DoubleLeftTee; 		&#x2ae4;
	&DoubleLongLeftarrow; 		&#x27f8;
	&DoubleLongLeftRightarrow; 		&#x27fa;
	&DoubleLongRightarrow; 		&#x27f9;
? 	&DoubleRightArrow; 	&#8658; 	&#x21d2;
	&DoubleRightTee; 		&#x22a8;
? 	&DoubleUpArrow; 	&#8657; 	&#x21d1;
	&DoubleUpDownArrow; 		&#x21d5;
	&DoubleVerticalBar; 		&#x2225;
? 	&DownArrow; 	&#8595; 	&#x2193;
? 	&downarrow; 	&#8595; 	&#x2193;
? 	&Downarrow; 	&#8659; 	&#x21d3;
	&DownArrowBar; 		&#x2913;
	&DownArrowUpArrow; 		&#x21f5;
	&DownBreve; 		&#x0311;
	&downdownarrows; 		&#x21ca;
	&downharpoonleft; 		&#x21c3;
	&downharpoonright; 		&#x21c2;
	&DownLeftRightVector; 		&#x2950;
	&DownLeftTeeVector; 		&#x295e;
	&DownLeftVector; 		&#x21bd;
	&DownLeftVectorBar; 		&#x2956;
	&DownRightTeeVector; 		&#x295f;
	&DownRightVector; 		&#x21c1;
	&DownRightVectorBar; 		&#x2957;
	&DownTee; 		&#x22a4;
	&DownTeeArrow; 		&#x21a7;
	&drbkarow; 		&#x2910;
	&drcorn; 		&#x231f;
	&drcrop; 		&#x230c;
	&dscr; 		&#x1d4b9;
	&Dscr; 		&#x1d49f;
	&dscy; 		&#x0455;
	&DScy; 		&#x0405;
	&dsol; 		&#x29f6;
	&dstrok; 		&#x0111;
	&Dstrok; 		&#x0110;
	&dtdot; 		&#x22f1;
	&dtri; 		&#x25bf;
	&dtrif; 		&#x25be;
	&duarr; 		&#x21f5;
	&duhar; 		&#x296f;
	&dwangle; 		&#x29a6;
	&dzcy; 		&#x045f;
	&DZcy; 		&#x040f;
	&dzigrarr; 		&#x27ff;
É 	&Eacute; 	&#201; 	&#xc9;
é 	&eacute; 	&#233; 	&#xe9;
	&easter; 		&#x2a6e;
	&Ecaron; 		&#x011a;
	&ecaron; 		&#x011b;
	&ecir; 		&#x2256;
Ê 	&Ecirc; 	&#202; 	&#xca;
ê 	&ecirc; 	&#234; 	&#xea;
	&ecolon; 		&#x2255;
	&Ecy; 		&#x042d;
	&ecy; 		&#x044d;
	&eDDot; 		&#x2a77;
	&edot; 		&#x0117;
	&eDot; 		&#x2251;
	&Edot; 		&#x0116;
	&ee; 		&#x2147;
	&efDot; 		&#x2252;
	&efr; 		&#x1d522;
	&Efr; 		&#x1d508;
	&eg; 		&#x2a9a;
è 	&egrave; 	&#232; 	&#xe8;
È 	&Egrave; 	&#200; 	&#xc8;
	&egs; 		&#x2a96;
	&egsdot; 		&#x2a98;
	&el; 		&#x2a99;
	&elinters; 		&#x23e7;
	&ell; 		&#x2113;
	&els; 		&#x2a95;
	&elsdot; 		&#x2a97;
	&emacr; 		&#x0113;
	&Emacr; 		&#x0112;
Ø 	&empty; 	&#8709; 	&#x2205;
Ø 	&emptyset; 	&#8709; 	&#x2205;
	&EmptySmallSquare; 		&#x25fb;
Ø 	&emptyv; 	&#8709; 	&#x2205;
	&EmptyVerySmallSquare; 		&#x25ab;
	&emsp13; 		&#x2004;
	&emsp14; 		&#x2005;
	&emsp; 	&#8195; 	&#x2003;
	&emsp13; 		&#x2004;
	&emsp14; 		&#x2005;
	&ENG; 		&#x014a;
	&eng; 		&#x014b;
	&ensp; 	&#8194; 	&#x2002;
	&eogon; 		&#x0119;
	&Eogon; 		&#x0118;
	&Eopf; 		&#x1d53c;
	&eopf; 		&#x1d556;
	&epar; 		&#x22d5;
	&eparsl; 		&#x29e3;
	&eplus; 		&#x2a71;
	&epsi; 		&#x03f5;
e 	&epsilon; 	&#949; 	&#x03b5;

back to top
Character 	Named Entity 	Decimal 	Hexadecimal
? 	&Epsilon; 	&#917; 	&#x0395;
e 	&epsiv; 	&#949; 	&#x03b5;
	&eqcirc; 		&#x2256;
	&eqcolon; 		&#x2255;
	&eqsim; 		&#x2242;
	&eqslantgtr; 		&#x2a96;
	&eqslantless; 		&#x2a95;
	&Equal; 		&#x2a75;
	&equals; 		&#x3d;
	&EqualTilde; 		&#x2242;
	&equest; 		&#x225f;
	&Equilibrium; 		&#x21cc;
= 	&equiv; 	&#8801; 	&#x2261;
	&equivDD; 		&#x2a78;
	&eqvparsl; 		&#x29e5;
	&erarr; 		&#x2971;
	&erDot; 		&#x2253;
	&escr; 		&#x212f;
	&Escr; 		&#x2130;
	&esdot; 		&#x2250;
	&esim; 		&#x2242;
	&Esim; 		&#x2a73;
? 	&Eta; 	&#919; 	&#x0397;
? 	&eta; 	&#951; 	&#x03b7;
Ð 	&ETH; 	&#208; 	&#xd0;
ð 	&eth; 	&#240; 	&#xf0;
Ë 	&Euml; 	&#203; 	&#xcb;
ë 	&euml; 	&#235; 	&#xeb;
€ 	&euro; 	&#8364; 	&#x20ac;
	&excl; 		&#x21;
? 	&exist; 	&#8707; 	&#x2203;
? 	&Exists; 	&#8707; 	&#x2203;
	&expectation; 		&#x2130;
	&ExponentialE; 		&#x2147;
	&exponentiale; 		&#x2147;
	&fallingdotseq; 		&#x2252;
	&Fcy; 		&#x0424;
	&fcy; 		&#x0444;
	&female; 		&#x2640;
	&ffilig; 		&#x0fb03;
	&fflig; 		&#x0fb00;
	&ffllig; 		&#x0fb04;
	&ffr; 		&#x1d523;
	&Ffr; 		&#x1d509;
	&filig; 		&#x0fb01;
	&FilledSmallSquare; 		&#x25fc;
	&FilledVerySmallSquare; 		&#x25aa;
	&flat; 		&#x266d;
	&fllig; 		&#x0fb02;
	&fltns; 		&#x25b1;
ƒ 	&fnof; 	&#402; 	&#x0192;
	&Fopf; 		&#x1d53d;
	&fopf; 		&#x1d557;
? 	&ForAll; 	&#8704; 	&#x2200;
? 	&forall; 	&#8704; 	&#x2200;
	&fork; 		&#x22d4;
	&forkv; 		&#x2ad9;
	&Fouriertrf; 		&#x2131;
	&fpartint; 		&#x2a0d;
½ 	&frac12; 	&#189; 	&#xbd;
	&frac13; 		&#x2153;
	&frac23; 		&#x2154;
¼ 	&frac14; 	&#188; 	&#xbc;
¾ 	&frac34; 	&#190; 	&#xbe;
	&frac15; 		&#x2155;
	&frac25; 		&#x2156;
	&frac35; 		&#x2157;
	&frac45; 		&#x2158;
	&frac16; 		&#x2159;
	&frac56; 		&#x215a;
	&frac18; 		&#x215b;
	&frac38; 		&#x215c;
	&frac58; 		&#x215d;
	&frac78; 		&#x215e;
/ 	&frasl; 	&#8260; 	&#x2044;
	&frown; 		&#x2322;
	&fscr; 		&#x1d4bb;
	&Fscr; 		&#x2131;
	&gacute; 		&#x01f5;
G 	&Gamma; 	&#915; 	&#x0393;
? 	&gamma; 	&#947; 	&#x03b3;
	&Gammad; 		&#x03dc;
	&gammad; 		&#x03dd;
	&gap; 		&#x2a86;
	&gbreve; 		&#x011f;
	&Gbreve; 		&#x011e;
	&Gcedil; 		&#x0122;
	&gcirc; 		&#x011d;
	&Gcirc; 		&#x011c;
	&gcy; 		&#x0433;
	&Gcy; 		&#x0413;
	&Gdot; 		&#x0120;
	&gdot; 		&#x0121;
= 	&ge; 	&#8805; 	&#x2265;
	&gE; 		&#x2267;
	&gel; 		&#x22db;
	&gEl; 		&#x2a8c;
= 	&geq; 	&#8805; 	&#x2265;
	&geqq; 		&#x2267;
	&geqslant; 		&#x2a7e;
	&ges; 		&#x2a7e;
	&gescc; 		&#x2aa9;
	&gesdot; 		&#x2a80;
	&gesdoto; 		&#x2a82;
	&gesdotol; 		&#x2a84;
	&gesles; 		&#x2a94;
	&gfr; 		&#x1d524;
	&Gfr; 		&#x1d50a;
	&gg; 		&#x226b;
	&Gg; 		&#x22d9;
	&ggg; 		&#x22d9;
	&gimel; 		&#x2137;
	&GJcy; 		&#x0403;
	&gjcy; 		&#x0453;
	&gl; 		&#x2277;
	&gla; 		&#x2aa5;
	&glE; 		&#x2a92;
	&glj; 		&#x2aa4;
	&gnap; 		&#x2a8a;
	&gnapprox; 		&#x2a8a;
	&gne; 		&#x2a88;
	&gnE; 		&#x2269;
	&gneq; 		&#x2a88;
	&gneqq; 		&#x2269;
	&gnsim; 		&#x22e7;
	&Gopf; 		&#x1d53e;
	&gopf; 		&#x1d558;
	&grave; 		&#x60;
= 	&GreaterEqual; 	&#8805; 	&#x2265;
	&GreaterEqualLess; 		&#x22db;
	&GreaterFullEqual; 		&#x2267;
	&GreaterGreater; 		&#x2aa2;
	&GreaterLess; 		&#x2277;
	&GreaterSlantEqual; 		&#x2a7e;
	&GreaterTilde; 		&#x2273;
	&Gscr; 		&#x1d4a2;
	&gscr; 		&#x210a;
	&gsim; 		&#x2273;
	&gsime; 		&#x2a8e;
	&gsiml; 		&#x2a90;
	&Gt; 		&#x226b;
	&GT; 		&#x3e;
	&gtcc; 		&#x2aa7;
	&gtcir; 		&#x2a7a;
	&gtdot; 		&#x22d7;
	&gtlPar; 		&#x2995;
	&gtquest; 		&#x2a7c;
	&gtrapprox; 		&#x2a86;
	&gtrarr; 		&#x2978;
	&gtrdot; 		&#x22d7;
	&gtreqless; 		&#x22db;
	&gtreqqless; 		&#x2a8c;
	&gtrless; 		&#x2277;
	&gtrsim; 		&#x2273;
	&Hacek; 		&#x02c7;
	&hairsp; 		&#x200a;
	&half; 		&#xbd;
	&hamilt; 		&#x210b;
	&HARDcy; 		&#x042a;
	&hardcy; 		&#x044a;
? 	&harr; 	&#8596; 	&#x2194;
? 	&hArr; 	&#8660; 	&#x21d4;
	&harrcir; 		&#x2948;
	&harrw; 		&#x21ad;
	&Hat; 		&#x5e;
	&hbar; 		&#x210f;
	&Hcirc; 		&#x0124;
	&hcirc; 		&#x0125;
? 	&hearts; 	&#9829; 	&#x2665;
? 	&heartsuit; 	&#9829; 	&#x2665;
… 	&hellip; 	&#8230; 	&#x2026;
	&hercon; 		&#x22b9;
	&hfr; 		&#x1d525;
	&Hfr; 		&#x210c;
	&HilbertSpace; 		&#x210b;
	&hksearow; 		&#x2925;
	&hkswarow; 		&#x2926;
	&hoarr; 		&#x21ff;
	&homtht; 		&#x223b;
	&hookleftarrow; 		&#x21a9;
	&hookrightarrow; 		&#x21aa;
	&hopf; 		&#x1d559;
	&Hopf; 		&#x210d;
	&horbar; 		&#x2015;
	&HorizontalLine; 		&#x2500;
	&hscr; 		&#x1d4bd;
	&Hscr; 		&#x210b;
	&hslash; 		&#x210f;
	&Hstrok; 		&#x0126;
	&hstrok; 		&#x0127;
	&HumpDownHump; 		&#x224e;
	&HumpEqual; 		&#x224f;
	&hybull; 		&#x2043;
	&hyphen; 		&#x2010;
Í 	&Iacute; 	&#205; 	&#xcd;
í 	&iacute; 	&#237; 	&#xed;
	&ic; 		&#x2063;
Î 	&Icirc; 	&#206; 	&#xce;
î 	&icirc; 	&#238; 	&#xee;
	&Icy; 		&#x0418;
	&icy; 		&#x0438;
	&Idot; 		&#x0130;
	&IEcy; 		&#x0415;
	&iecy; 		&#x0435;
¡ 	&iexcl; 	&#161; 	&#xa1;
? 	&iff; 	&#8660; 	&#x21d4;
I 	&Ifr; 	&#8465; 	&#x2111;
	&ifr; 		&#x1d526;
Ì 	&Igrave; 	&#204; 	&#xcc;
ì 	&igrave; 	&#236; 	&#xec;
	&ii; 		&#x2148;
	&iiiint; 		&#x2a0c;
	&iiint; 		&#x222d;
	&iinfin; 		&#x29dc;
	&iiota; 		&#x2129;
	&IJlig; 		&#x0132;
	&ijlig; 		&#x0133;
I 	&Im; 	&#8465; 	&#x2111;
	&Imacr; 		&#x012a;
	&imacr; 		&#x012b;
I 	&image; 	&#8465; 	&#x2111;
	&ImaginaryI; 		&#x2148;
	&imagline; 		&#x2110;
I 	&imagpart; 	&#8465; 	&#x2111;
	&imath; 		&#x0131;
	&imof; 		&#x22b7;
	&imped; 		&#x01b5;
? 	&Implies; 	&#8658; 	&#x21d2;
? 	&in; 	&#8712; 	&#x2208;
	&incare; 		&#x2105;
8 	&infin; 	&#8734; 	&#x221e;
	&infintie; 		&#x29dd;
	&inodot; 		&#x0131;
? 	&int; 	&#8747; 	&#x222b;
	&Int; 		&#x222c;
	&intcal; 		&#x22ba;
	&integers; 		&#x2124;
? 	&Integral; 	&#8747; 	&#x222b;
	&intercal; 		&#x22ba;
	&Intersection; 		&#x22c2;
	&intlarhk; 		&#x2a17;
	&intprod; 		&#x2a3c;
	&InvisibleComma; 		&#x2063;
	&InvisibleTimes; 		&#x2062;
	&IOcy; 		&#x0401;
	&iocy; 		&#x0451;
	&Iogon; 		&#x012e;
	&iogon; 		&#x012f;
	&Iopf; 		&#x1d540;
	&iopf; 		&#x1d55a;
? 	&Iota; 	&#921; 	&#x0399;
? 	&iota; 	&#953; 	&#x03b9;
	&iprod; 		&#x2a3c;
¿ 	&iquest; 	&#191; 	&#xbf;
	&iscr; 		&#x1d4be;
	&Iscr; 		&#x2110;
? 	&isin; 	&#8712; 	&#x2208;
	&isindot; 		&#x22f5;
	&isinE; 		&#x22f9;
	&isins; 		&#x22f4;
	&isinsv; 		&#x22f3;
